system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,DISP_AREA,EXP1_YEAR,STATUS,STR1_YEAR,Shape_Area,Shape_Leng,mean,median,month,stdDev,year
1_000000000000000000a9,44,Cambodia,793,Kampong Cham,NO,3000,Member State,1000,0.7840018665,7.041655791,0.4470976231,0.4257580378,2,0.2591654641,2021
1_000000000000000000aa,44,Cambodia,794,Kampong Chhnang,NO,3000,Member State,1000,0.4401159544,4.193322103,0.387122083,0.3319920475,2,0.2201459921,2021
1_000000000000000000ab,44,Cambodia,795,Kampong Speu,NO,3000,Member State,1000,0.5775433974,4.497900831,0.367816886,0.3163662252,2,0.1881960806,2021
1_000000000000000000ac,44,Cambodia,796,Kampong Thom,NO,3000,Member State,1000,1.037093382,6.976872051,0.5014361289,0.5038774405,2,0.2264267971,2021
1_000000000000000000ad,44,Cambodia,797,Kampot,NO,3000,Member State,1000,0.3883810755,3.587786638,0.4884670653,0.4491844713,2,0.2275367444,2021
1_000000000000000000ae,44,Cambodia,798,Kandal,NO,3000,Member State,1000,0.2949470551,4.935718016,0.4288328379,0.4804749311,2,0.3446637206,2021
1_000000000000000000af,44,Cambodia,800,Kep,NO,3000,Member State,1000,0.01260676424,0.8511547275,0.4345839381,0.4101425436,2,0.2338117461,2021
1_000000000000000000b0,44,Cambodia,799,Koh Kong,NO,3000,Member State,1000,0.9968448838,7.337115505,0.7101335251,0.8008374264,2,0.2066293254,2021
1_000000000000000000b1,44,Cambodia,801,Kratie,NO,3000,Member State,1000,0.9955412798,6.372926476,0.3675791745,0.3085576035,2,0.2276347994,2021
1_000000000000000000b2,44,Cambodia,803,Mondul Kiri,NO,3000,Member State,1000,1.131673463,6.150690158,0.417662644,0.3632559534,2,0.2049162647,2021
1_000000000000000000b5,44,Cambodia,806,Phnom Penh,NO,3000,Member State,1000,0.03116094386,1.066500082,0.2155362611,0.1991582552,2,0.2720893442,2021
1_000000000000000000b6,44,Cambodia,802,Preah Sihanouk,NO,3000,Member State,1000,0.1326968649,3.919131182,0.5053109184,0.5351762318,2,0.2581016638,2021
1_000000000000000000b7,44,Cambodia,807,Preah Vihear,NO,3000,Member State,1000,1.171947069,6.384016149,0.3704386954,0.3085519161,2,0.1927880082,2021
1_000000000000000000b8,44,Cambodia,808,Prey Veng,NO,3000,Member State,1000,0.3932775827,3.582943269,0.3868645314,0.3241894511,2,0.2530349597,2021
1_000000000000000000b9,44,Cambodia,809,Pursat,NO,3000,Member State,1000,0.9605296656,7.061150894,0.5274509184,0.542973864,2,0.2347294393,2021
1_000000000000000000ba,44,Cambodia,810,Ratanak Kiri,NO,3000,Member State,1000,0.9851667197,6.15269804,0.5353528107,0.5507773151,2,0.2530840157,2021
1_000000000000000000bc,44,Cambodia,812,Stung Treng,NO,3000,Member State,1000,1.009749037,6.2978308,0.4762190071,0.4648286641,2,0.2907617861,2021
1_000000000000000000bd,44,Cambodia,813,Svay Rieng,NO,3000,Member State,1000,0.2366272897,3.115029868,0.3820416499,0.3476334983,2,0.1872290063,2021
1_000000000000000000be,44,Cambodia,814,Takeo,NO,3000,Member State,1000,0.2864885141,3.1252766,0.4665544147,0.3945082283,2,0.2488672592,2021
2_000000000000000000b3,44,Cambodia,804,Otdar Meanchey,NO,3000,Member State,1995,0.5532486009,4.551822637,0.2888379766,0.2460542645,3,0.1530208847,2021
2_000000000000000000bb,44,Cambodia,811,Siem Reap,NO,3000,Member State,1995,0.8808367611,5.580395136,0.3005724746,0.2538524559,3,0.1685854982,2021
2_000000000000000000a8,44,Cambodia,792,Battambang,NO,3000,Member State,1997,0.9882713243,6.08763043,0.3086061477,0.2460481139,3,0.1899555895,2021
2_000000000000000000b4,44,Cambodia,805,Pailin,NO,3000,Member State,1997,0.08886359898,1.471673162,0.409580235,0.3476383938,3,0.2400854489,2021
2_000000000000000000a5,44,Cambodia,65290,Area under National Administration 1,NO,3000,Member State,1000,0.2122933686,5.269380318,-0.00152339545,-0.05061934098,3,0.1843330283,2021
2_000000000000000000a6,44,Cambodia,65289,Area under National Administration 2,NO,3000,Member State,1000,8.00E-04,0.3798973226,0.61357032,0.7306901705,3,0.2672694339,2021
2_000000000000000000a7,44,Cambodia,791,Banteay Meanchey,NO,3000,Member State,1000,0.5109201907,4.57108768,0.2569577139,0.2147997352,3,0.146800914,2021
